[ Info: Indexing package CurricularVisualization 0.1.4...
   Updating registry at `~/.julia/registries/General`
  Installed Xorg_libXrender_jll ────────── v0.9.10+4
  Installed Distributions ──────────────── v0.24.10
  Installed InvertedIndices ────────────── v1.0.0
  Installed WebSockets ─────────────────── v1.5.7
  Installed PCRE_jll ───────────────────── v8.42.0+4
  Installed LaTeXStrings ───────────────── v1.2.0
  Installed Glib_jll ───────────────────── v2.59.0+4
  Installed SimpleTraits ───────────────── v0.9.3
  Installed Measures ───────────────────── v0.3.1
  Installed Xorg_libXau_jll ────────────── v1.0.9+4
  Installed x264_jll ───────────────────── v2020.7.14+2
  Installed Libuuid_jll ────────────────── v2.34.0+7
  Installed PlotUtils ──────────────────── v1.0.10
  Installed XSLT_jll ───────────────────── v1.1.33+4
  Installed RecipesBase ────────────────── v1.1.1
  Installed JpegTurbo_jll ──────────────── v2.0.1+3
  Installed Mustache ───────────────────── v1.0.10
  Installed Libgcrypt_jll ──────────────── v1.8.5+4
  Installed XML2_jll ───────────────────── v2.9.10+3
  Installed DataValueInterfaces ────────── v1.0.0
  Installed BinDeps ────────────────────── v1.0.2
  Installed Arpack ─────────────────────── v0.4.0
  Installed Libgpg_error_jll ───────────── v1.36.0+3
  Installed IniFile ────────────────────── v0.5.0
  Installed TableTraits ────────────────── v1.0.0
  Installed Pixman_jll ─────────────────── v0.40.0+0
  Installed x265_jll ───────────────────── v3.0.0+3
  Installed libass_jll ─────────────────── v0.14.0+4
  Installed Xorg_xkeyboard_config_jll ──── v2.27.0+4
  Installed FFTW ───────────────────────── v1.3.1
  Installed Xorg_xcb_util_image_jll ────── v0.4.0+1
  Installed SortingAlgorithms ──────────── v0.3.1
  Installed KernelDensity ──────────────── v0.6.2
  Installed RecipesPipeline ────────────── v0.2.1
  Installed OffsetArrays ───────────────── v1.5.0
  Installed Wayland_jll ────────────────── v1.17.0+4
  Installed Reexport ───────────────────── v0.2.0
  Installed JSON ───────────────────────── v0.21.1
  Installed Inflate ────────────────────── v0.1.2
  Installed Xorg_libXi_jll ─────────────── v1.7.10+4
  Installed ColorTypes ─────────────────── v0.10.9
  Installed URIParser ──────────────────── v0.4.1
  Installed Xorg_libpthread_stubs_jll ──── v0.1.0+3
  Installed StaticArrays ───────────────── v0.12.5
  Installed StatsBase ──────────────────── v0.33.2
  Installed StructTypes ────────────────── v1.2.1
  Installed Libmount_jll ───────────────── v2.34.0+3
  Installed Rmath ──────────────────────── v0.6.1
  Installed FreeType2_jll ──────────────── v2.10.1+5
  Installed Xorg_libxcb_jll ────────────── v1.13.0+3
  Installed Gettext_jll ────────────────── v0.20.1+7
  Installed Distances ──────────────────── v0.10.0
  Installed Mux ────────────────────────── v0.7.5
  Installed MbedTLS_jll ────────────────── v2.16.8+1
  Installed FriBidi_jll ────────────────── v1.0.5+6
  Installed JSExpr ─────────────────────── v0.5.2
  Installed Scratch ────────────────────── v1.0.3
  Installed IntelOpenMP_jll ────────────── v2018.0.3+0
  Installed Widgets ────────────────────── v0.6.2
  Installed NaNMath ────────────────────── v0.3.5
  Installed Latexify ───────────────────── v0.14.7
  Installed Xorg_xcb_util_wm_jll ───────── v0.4.1+1
  Installed Arpack_jll ─────────────────── v3.5.0+3
  Installed Bzip2_jll ──────────────────── v1.0.6+5
  Installed IterTools ──────────────────── v1.3.0
  Installed Interpolations ─────────────── v0.13.1
  Installed CSV ────────────────────────── v0.7.10
  Installed PlotThemes ─────────────────── v2.0.0
  Installed Clustering ─────────────────── v0.14.2
  Installed GR ─────────────────────────── v0.53.0
  Installed ColorSchemes ───────────────── v3.10.2
  Installed CurricularAnalytics ────────── v1.1.0
Updating `~/.julia/environments/v1.5/Project.toml`
  [fbaee398] + CurricularVisualization v0.1.4
Updating `~/.julia/environments/v1.5/Manifest.toml`
  [621f4979] + AbstractFFTs v1.0.0
  [79e6a3ab] + Adapt v2.4.0
  [ec485272] + ArnoldiMethod v0.0.4
  [7d9fca2a] + Arpack v0.4.0
  [68821587] + Arpack_jll v3.5.0+3
  [56f22d72] + Artifacts v1.3.0
  [bf4720bc] + AssetRegistry v0.1.0
  [13072b0f] + AxisAlgorithms v1.0.0
  [9e28174c] + BinDeps v1.0.2
  [ad839575] + Blink v0.12.4
  [6e34b625] + Bzip2_jll v1.0.6+5
  [336ed68f] + CSV v0.7.10
  [83423d85] + Cairo_jll v1.16.0+6
  [324d7699] + CategoricalArrays v0.8.3
  [d360d2e6] + ChainRulesCore v0.9.25
  [aaaa29a8] + Clustering v0.14.2
  [35d6a980] + ColorSchemes v3.10.2
  [3da002f7] + ColorTypes v0.10.9
  [5ae59095] + Colors v0.12.6
  [34da2185] + Compat v3.25.0
  [e66e0078] + CompilerSupportLibraries_jll v0.3.4+0
  [d38c429a] + Contour v0.5.7
  [593ffa3d] + CurricularAnalytics v1.1.0
  [fbaee398] + CurricularVisualization v0.1.4
  [9a962f9c] + DataAPI v1.4.0
  [a93c6f00] + DataFrames v0.21.8
  [864edb3b] + DataStructures v0.17.20
  [e2d170a0] + DataValueInterfaces v1.0.0
  [e7dc6d0d] + DataValues v0.4.13
  [b4f34e82] + Distances v0.10.0
  [31c24e10] + Distributions v0.24.10
  [ffbed154] + DocStringExtensions v0.8.3
  [e30172f5] + Documenter v0.24.11
  [5ae413db] + EarCut_jll v2.1.5+1
  [2e619515] + Expat_jll v2.2.7+6
  [c87230d0] + FFMPEG v0.4.0
  [b22a6f82] + FFMPEG_jll v4.3.1+4
  [7a1cc6ca] + FFTW v1.3.1
  [f5851436] + FFTW_jll v3.3.9+7
  [1a297f60] + FillArrays v0.10.2
  [53c48c17] + FixedPointNumbers v0.8.4
  [a3f928ae] + Fontconfig_jll v2.13.1+14
  [59287772] + Formatting v0.4.2
  [d7e528f0] + FreeType2_jll v2.10.1+5
  [559328eb] + FriBidi_jll v1.0.5+6
  [de31a74c] + FunctionalCollections v0.5.0
  [0656b61e] + GLFW_jll v3.3.2+1
  [28b8d3ca] + GR v0.53.0
  [d2c73de3] + GR_jll v0.53.0+0
  [5c1252a2] + GeometryBasics v0.3.5
  [78b55507] + Gettext_jll v0.20.1+7
  [7746bdde] + Glib_jll v2.59.0+4
  [42e2da0e] + Grisu v1.0.0
  [cd3eb016] + HTTP v0.8.19
  [9fb69e20] + Hiccup v0.2.2
  [d25df0c9] + Inflate v0.1.2
  [83e8ac13] + IniFile v0.5.0
  [1d5cc7b8] + IntelOpenMP_jll v2018.0.3+0
  [a98d9a8b] + Interpolations v0.13.1
  [41ab1584] + InvertedIndices v1.0.0
  [c8e1da08] + IterTools v1.3.0
  [82899510] + IteratorInterfaceExtensions v1.0.0
  [692b3bcd] + JLLWrappers v1.2.0
  [97c1335a] + JSExpr v0.5.2
  [682c06a0] + JSON v0.21.1
  [aacddb02] + JpegTurbo_jll v2.0.1+3
  [5ab0869b] + KernelDensity v0.6.2
  [c1c5ebd0] + LAME_jll v3.100.0+3
  [dd4b983a] + LZO_jll v2.10.0+3
  [b964fa9f] + LaTeXStrings v1.2.0
  [23fbe1c1] + Latexify v0.14.7
  [50d2b5c4] + Lazy v0.15.1
  [dd192d2f] + LibVPX_jll v1.9.0+1
  [e9f186c6] + Libffi_jll v3.2.1+4
  [d4300ac3] + Libgcrypt_jll v1.8.5+4
  [7e76a0d4] + Libglvnd_jll v1.3.0+3
  [7add5ba3] + Libgpg_error_jll v1.36.0+3
  [94ce4f54] + Libiconv_jll v1.16.0+7
  [4b2f31a3] + Libmount_jll v2.34.0+3
  [89763e89] + Libtiff_jll v4.1.0+2
  [38a345b3] + Libuuid_jll v2.34.0+7
  [093fc24a] + LightGraphs v1.3.4
  [856f044c] + MKL_jll v2020.2.254+0
  [1914dd2f] + MacroTools v0.5.6
  [739be429] + MbedTLS v1.0.3
  [c8ffd9c3] + MbedTLS_jll v2.16.8+1
  [442fdcdd] + Measures v0.3.1
  [e1d29d7a] + Missings v0.4.4
  [6f286f6a] + MultivariateStats v0.7.0
  [ffc61752] + Mustache v1.0.10
  [a975b10e] + Mux v0.7.5
  [77ba4419] + NaNMath v0.3.5
  [b8a86587] + NearestNeighbors v0.4.8
  [510215fc] + Observables v0.3.3
  [6fe1bfb0] + OffsetArrays v1.5.0
  [e7412a2a] + Ogg_jll v1.3.4+2
  [4536629a] + OpenBLAS_jll v0.3.9+5
  [458c3c95] + OpenSSL_jll v1.1.1+6
  [efe28fd5] + OpenSpecFun_jll v0.5.3+4
  [91d4177d] + Opus_jll v1.3.1+3
  [bac558e1] + OrderedCollections v1.3.2
  [2f80f16e] + PCRE_jll v8.42.0+4
  [90014a1f] + PDMats v0.10.1
  [69de0a69] + Parsers v1.0.15
  [fa939f87] + Pidfile v1.2.0
  [30392449] + Pixman_jll v0.40.0+0
  [ccf2f8ad] + PlotThemes v2.0.0
  [995b91a9] + PlotUtils v1.0.10
  [91a5bcdd] + Plots v1.10.1
  [2dfb63ee] + PooledArrays v0.5.3
  [ede63266] + Qt_jll v5.15.2+1
  [1fd47b50] + QuadGK v2.4.1
  [c84ed2f1] + Ratios v0.4.0
  [3cdcf5f2] + RecipesBase v1.1.1
  [01d81517] + RecipesPipeline v0.2.1
  [189a3867] + Reexport v0.2.0
  [ae029012] + Requires v1.1.2
  [79098fc4] + Rmath v0.6.1
  [f50d1b31] + Rmath_jll v0.2.2+1
  [6c6a2e73] + Scratch v1.0.3
  [91c51154] + SentinelArrays v1.2.16
  [992d4aef] + Showoff v0.3.2
  [699a6c99] + SimpleTraits v0.9.3
  [a2af1166] + SortingAlgorithms v0.3.1
  [276daf66] + SpecialFunctions v1.2.1
  [90137ffa] + StaticArrays v0.12.5
  [2913bbd2] + StatsBase v0.33.2
  [4c63d2b9] + StatsFuns v0.9.6
  [f3b207a7] + StatsPlots v0.14.17
  [09ab397b] + StructArrays v0.4.4
  [856f2bd8] + StructTypes v1.2.1
  [ab02a1b2] + TableOperations v0.3.0
  [3783bdb8] + TableTraits v1.0.0
  [bd369af6] + Tables v1.2.2
  [30578b45] + URIParser v0.4.1
  [a2964d1f] + Wayland_jll v1.17.0+4
  [2381bf8a] + Wayland_protocols_jll v1.18.0+4
  [0f1e0344] + WebIO v0.8.15
  [104b5d7c] + WebSockets v1.5.7
  [cc8bc4a8] + Widgets v0.6.2
  [efce3f68] + WoodburyMatrices v0.5.3
  [02c8fc9c] + XML2_jll v2.9.10+3
  [aed1982a] + XSLT_jll v1.1.33+4
  [4f6342f7] + Xorg_libX11_jll v1.6.9+4
  [0c0b7dd1] + Xorg_libXau_jll v1.0.9+4
  [935fb764] + Xorg_libXcursor_jll v1.2.0+4
  [a3789734] + Xorg_libXdmcp_jll v1.1.3+4
  [1082639a] + Xorg_libXext_jll v1.3.4+4
  [d091e8ba] + Xorg_libXfixes_jll v5.0.3+4
  [a51aa0fd] + Xorg_libXi_jll v1.7.10+4
  [d1454406] + Xorg_libXinerama_jll v1.1.4+4
  [ec84b674] + Xorg_libXrandr_jll v1.5.2+4
  [ea2f1a96] + Xorg_libXrender_jll v0.9.10+4
  [14d82f49] + Xorg_libpthread_stubs_jll v0.1.0+3
  [c7cfdc94] + Xorg_libxcb_jll v1.13.0+3
  [cc61e674] + Xorg_libxkbfile_jll v1.1.0+4
  [12413925] + Xorg_xcb_util_image_jll v0.4.0+1
  [2def613f] + Xorg_xcb_util_jll v0.4.0+1
  [975044d2] + Xorg_xcb_util_keysyms_jll v0.4.0+1
  [0d47668e] + Xorg_xcb_util_renderutil_jll v0.3.9+1
  [c22f9ab0] + Xorg_xcb_util_wm_jll v0.4.1+1
  [35661453] + Xorg_xkbcomp_jll v1.4.2+4
  [33bec58e] + Xorg_xkeyboard_config_jll v2.27.0+4
  [c5fb5394] + Xorg_xtrans_jll v1.4.0+3
  [83775a58] + Zlib_jll v1.2.11+18
  [3161d3a3] + Zstd_jll v1.4.5+2
  [0ac62f75] + libass_jll v0.14.0+4
  [f638f0a6] + libfdk_aac_jll v0.1.6+4
  [b53b4c65] + libpng_jll v1.6.37+6
  [f27f6e37] + libvorbis_jll v1.3.6+6
  [1270edf5] + x264_jll v2020.7.14+2
  [dfaa095f] + x265_jll v3.0.0+3
  [d8fb68d0] + xkbcommon_jll v0.9.1+5
  [2a0f44e3] + Base64
  [ade2ca70] + Dates
  [8bb1440f] + DelimitedFiles
  [8ba89e20] + Distributed
  [7b1f6079] + FileWatching
  [9fa8497b] + Future
  [b77e0a4c] + InteractiveUtils
  [76f85450] + LibGit2
  [8f399da3] + Libdl
  [37e2e46d] + LinearAlgebra
  [56ddb016] + Logging
  [d6f4376e] + Markdown
  [a63ad114] + Mmap
  [44cfe95a] + Pkg
  [de0858da] + Printf
  [3fa0cd96] + REPL
  [9a3f8284] + Random
  [ea8e919c] + SHA
  [9e88b42a] + Serialization
  [1a1011a3] + SharedArrays
  [6462fe0b] + Sockets
  [2f01184e] + SparseArrays
  [10745b16] + Statistics
  [4607b0f0] + SuiteSparse
  [8dfed614] + Test
  [cf7118a7] + UUIDs
  [4ec0a83e] + Unicode
   Building WebIO → `~/.julia/packages/WebIO/Fy9h1/deps/build.log`
   Building Blink → `~/.julia/packages/Blink/pb6s6/deps/build.log`
┌ Error: Error building `Blink`: 
│   % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
│                                  Dload  Upload   Total   Spent    Left  Speed
│   0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0100   651  100   651    0     0   4520      0 --:--:-- --:--:-- --:--:--  4520
│   0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0  0 71.6M    0  628k    0     0   489k      0  0:02:29  0:00:01  0:02:28  634k  2 71.6M    2 1835k    0     0   802k      0  0:01:31  0:00:02  0:01:29  921k  3 71.6M    3 2765k    0     0   842k      0  0:01:27  0:00:03  0:01:24  924k  5 71.6M    5 3821k    0     0   890k      0  0:01:22  0:00:04  0:01:18  955k  7 71.6M    7 5293k    0     0  1001k      0  0:01:13  0:00:05  0:01:08 1060k  9 71.6M    9 6701k    0     0  1066k      0  0:01:08  0:00:06  0:01:02 1214k 11 71.6M   11 8125k    0     0  1115k      0  0:01:05  0:00:07  0:00:58 1258k 12 71.6M   12 9357k    0     0  1129k      0  0:01:04  0:00:08  0:00:56 1318k 14 71.6M   14 10.3M    0     0  1140k      0  0:01:04  0:00:09  0:00:55 1355k 16 71.6M   16 11.7M    0     0  1169k      0  0:01:02  0:00:10  0:00:52 1347k 18 71.6M   18 12.9M    0     0  1170k      0  0:01:02  0:00:11  0:00:51 1302k 19 71.6M   19 14.0M    0     0  1172k      0  0:01:02  0:00:12  0:00:50 1254k 21 71.6M   21 15.2M    0     0  1175k      0  0:01:02  0:00:13  0:00:49 1251k 23 71.6M   23 16.5M    0     0  1183k      0  0:01:01  0:00:14  0:00:47 1264k 24 71.6M   24 17.8M    0     0  1193k      0  0:01:01  0:00:15  0:00:46 1241k 26 71.6M   26 18.9M    0     0  1193k      0  0:01:01  0:00:16  0:00:45 1244k 28 71.6M   28 20.2M    0     0  1199k      0  0:01:01  0:00:17  0:00:44 1267k 29 71.6M   29 21.4M    0     0  1202k      0  0:01:01  0:00:18  0:00:43 1273k 31 71.6M   31 22.5M    0     0  1197k      0  0:01:01  0:00:19  0:00:42 1238k 32 71.6M   32 23.6M    0     0  1191k      0  0:01:01  0:00:20  0:00:41 1187k 34 71.6M   34 24.7M    0     0  1192k      0  0:01:01  0:00:21  0:00:40 1187k 36 71.6M   36 25.8M    0     0  1186k      0  0:01:01  0:00:22  0:00:39 1142k 37 71.6M   37 26.9M    0     0  1184k      0  0:01:01  0:00:23  0:00:38 1120k 39 71.6M   39 28.1M    0     0  1185k      0  0:01:01  0:00:24  0:00:37 1136k 40 71.6M   40 29.2M    0     0  1183k      0  0:01:02  0:00:25  0:00:37 1148k 42 71.6M   42 30.4M    0     0  1187k      0  0:01:01  0:00:26  0:00:35 1168k 44 71.6M   44 31.8M    0     0  1195k      0  0:01:01  0:00:27  0:00:34 1232k 46 71.6M   46 33.2M    0     0  1202k      0  0:01:01  0:00:28  0:00:33 1286k 48 71.6M   48 34.6M    0     0  1211k      0  0:01:00  0:00:29  0:00:31 1340k 50 71.6M   50 36.1M    0     0  1223k      0  0:00:59  0:00:30  0:00:29 1427k 52 71.6M   52 37.6M    0     0  1232k      0  0:00:59  0:00:31  0:00:28 1468k 54 71.6M   54 39.0M    0     0  1238k      0  0:00:59  0:00:32  0:00:27 1478k 56 71.6M   56 40.2M    0     0  1237k      0  0:00:59  0:00:33  0:00:26 1433k 57 71.6M   57 41.5M    0     0  1239k      0  0:00:59  0:00:34  0:00:25 1404k 59 71.6M   59 42.9M    0     0  1245k      0  0:00:58  0:00:35  0:00:23 1379k 61 71.6M   61 44.2M    0     0  1247k      0  0:00:58  0:00:36  0:00:22 1340k 63 71.6M   63 45.7M    0     0  1255k      0  0:00:58  0:00:37  0:00:21 1360k 65 71.6M   65 47.2M    0     0  1264k      0  0:00:58  0:00:38  0:00:20 1446k 67 71.6M   67 48.6M    0     0  1269k      0  0:00:57  0:00:39  0:00:18 1468k 69 71.6M   69 49.9M    0     0  1270k      0  0:00:57  0:00:40  0:00:17 1443k 71 71.6M   71 51.1M    0     0  1269k      0  0:00:57  0:00:41  0:00:16 1430k 73 71.6M   73 52.6M    0     0  1274k      0  0:00:57  0:00:42  0:00:15 1417k 75 71.6M   75 54.0M    0     0  1279k      0  0:00:57  0:00:43  0:00:14 1392k 77 71.6M   77 55.5M    0     0  1284k      0  0:00:57  0:00:44  0:00:13 1408k 79 71.6M   79 56.9M    0     0  1287k      0  0:00:57  0:00:45  0:00:12 1424k 81 71.6M   81 58.3M    0     0  1291k      0  0:00:56  0:00:46  0:00:10 1470k 83 71.6M   83 59.9M    0     0  1298k      0  0:00:56  0:00:47  0:00:09 1507k 85 71.6M   85 61.3M    0     0  1300k      0  0:00:56  0:00:48  0:00:08 1481k 87 71.6M   87 62.5M    0     0  1299k      0  0:00:56  0:00:49  0:00:07 1433k 88 71.6M   88 63.4M    0     0  1291k      0  0:00:56  0:00:50  0:00:06 1331k 90 71.6M   90 64.8M    0     0  1294k      0  0:00:56  0:00:51  0:00:05 1326k 92 71.6M   92 66.2M    0     0  1298k      0  0:00:56  0:00:52  0:00:04 1292k 94 71.6M   94 67.7M    0     0  1301k      0  0:00:56  0:00:53  0:00:03 1312k 96 71.6M   96 69.3M    0     0  1307k      0  0:00:56  0:00:54  0:00:02 1382k 99 71.6M   99 70.9M    0     0  1314k      0  0:00:55  0:00:55 --:--:-- 1542k100 71.6M  100 71.6M    0     0  1317k      0  0:00:55  0:00:55 --:--:-- 1578k
│ ERROR: LoadError: IOError: could not spawn `unzip -q electron-v4.0.4-linux-x64.zip -d atom`: no such file or directory (ENOENT)
│ Stacktrace:
│  [1] _spawn_primitive(::String, ::Cmd, ::Array{Any,1}) at ./process.jl:99
│  [2] #585 at ./process.jl:112 [inlined]
│  [3] setup_stdios(::Base.var"#585#586"{Cmd}, ::Array{Any,1}) at ./process.jl:196
│  [4] _spawn at ./process.jl:111 [inlined]
│  [5] run(::Cmd; wait::Bool) at ./process.jl:439
│  [6] run at ./process.jl:438 [inlined]
│  [7] (::Main.BuildBlink.var"#1#2")() at /root/.julia/packages/Blink/pb6s6/src/AtomShell/install.jl:66
│  [8] cd(::Main.BuildBlink.var"#1#2", ::String) at ./file.jl:104
│  [9] install() at /root/.julia/packages/Blink/pb6s6/src/AtomShell/install.jl:27
│  [10] top-level scope at /root/.julia/packages/Blink/pb6s6/deps/build.jl:14
│  [11] include(::String) at ./client.jl:457
│  [12] top-level scope at none:5
│ in expression starting at /root/.julia/packages/Blink/pb6s6/deps/build.jl:13
└ @ Pkg.Operations /buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/Pkg/src/Operations.jl:949
   Building FFTW ─→ `~/.julia/packages/FFTW/eADNB/deps/build.log`
   Building GR ───→ `~/.julia/packages/GR/RlE5Y/deps/build.log`
WARNING: Method definition (::Type{CurricularAnalytics.DegreePlan})(AbstractString, CurricularAnalytics.Curriculum, Array{CurricularAnalytics.Term, 1}) in module CurricularAnalytics at /root/.julia/packages/CurricularAnalytics/qqlQU/src/DataTypes/DegreePlan.jl:74 overwritten at /root/.julia/packages/CurricularAnalytics/qqlQU/src/DataTypes/DegreePlan.jl:99.
  ** incremental compilation may be fatally broken for this module **

WARNING: Method definition (::Type{CurricularAnalytics.DegreePlan})(AbstractString, CurricularAnalytics.Curriculum, Array{CurricularAnalytics.Term, 1}) in module CurricularAnalytics at /root/.julia/packages/CurricularAnalytics/qqlQU/src/DataTypes/DegreePlan.jl:74 overwritten at /root/.julia/packages/CurricularAnalytics/qqlQU/src/DataTypes/DegreePlan.jl:99.
  ** incremental compilation may be fatally broken for this module **

WARNING: both LinearAlgebra and StatsPlots export "rotate!"; uses of it in module CurricularVisualization must be qualified
[ Info: Finished indexing.
